% start	end	CellId	TxBytes	RxBytes
11	12	2	31827	31827
11	12	1	106581	105806
11	12	5	86800	86366
11	12	1	28644	28861
11	12	4	47994	47994
11	12	2	53322	53322
11	12	4	47994	47994
11	12	1	90146	89549
11	12	2	5913	5751
11	12	2	68057	67460
11	12	2	5832	5913
11	12	4	47994	47994
11	12	2	31518	31518
11	12	4	13566	13566
11	12	2	45889	46310
11	12	1	28861	28861
11	12	4	52877	52877
11	12	2	21700	21700
11	12	1	42024	42024
11	12	4	13564	13564
11	12	5	105800	105800
11	12	1	73039	73039
11	12	5	105800	105800
11	12	4	70445	70445
11	12	4	33063	33063
11	12	2	87575	87575
11	12	1	89548	90145
12	13	5	105800	105800
12	13	2	38271	38271
12	13	4	58098	58519
12	13	2	39552	38934
12	13	1	78301	79076
12	13	5	56420	56637
12	13	1	19964	19964
12	13	4	58097	58097
12	13	2	64087	64087
12	13	4	58146	58146
12	13	1	75030	74852
12	13	1	17614	17614
12	13	2	97894	98491
12	13	1	17707	17409
12	13	4	58098	58098
12	13	2	39664	39664
12	13	1	19095	18962
12	13	2	57676	57255
12	13	1	19964	19964
12	13	4	58567	58146
12	13	5	16915	15193
12	13	1	29046	29046
12	13	1	19068	19068
12	13	5	105786	105786
12	13	1	48774	48774
12	13	5	105800	105800
12	13	4	85370	85370
12	13	4	35464	35247
12	13	2	110050	109275
12	13	1	62088	62088
13	14	5	105800	105800
13	14	2	42024	42024
13	14	4	46109	46109
13	14	2	42023	41714
13	14	1	75950	75950
13	14	5	45570	45136
13	14	1	18879	18879
13	14	4	61466	61466
13	14	2	68094	68094
13	14	4	61466	61045
13	14	1	75950	76725
13	14	1	18879	18662
13	14	2	104488	104488
13	14	1	18662	18662
13	14	4	61465	61465
13	14	2	42333	42024
13	14	1	11830	11697
13	14	2	61045	61466
13	14	1	18879	18879
13	14	4	61045	61466
13	14	5	23052	22462
13	14	1	27809	27809
13	14	1	18879	18879
13	14	5	105790	105790
13	14	1	46431	45962
13	14	5	105800	105800
13	14	4	89550	89550
13	14	4	28861	28861
13	14	2	106192	106401
13	14	1	59102	59102
14	15	5	105800	105800
14	15	2	41714	41714
14	15	4	42023	42023
14	15	3	53127	32445
14	15	1	75950	75950
14	15	5	43834	43834
14	15	1	18879	18662
14	15	4	61045	61045
14	15	2	74281	73812
14	15	4	61045	61466
14	15	1	75949	75949
14	15	1	18879	18445
14	15	2	89038	89038
14	15	1	18879	18879
14	15	4	61045	61045
14	15	2	60542	60851
14	15	1	12460	12460
14	15	2	60203	60203
14	15	1	18662	18662
14	15	4	61466	61045
14	15	5	26334	25802
14	15	1	27192	27192
14	15	1	18879	18879
14	15	5	105800	105800
14	15	1	45493	45962
14	15	5	105800	105800
14	15	4	90146	89549
14	15	4	28644	28861
14	15	2	105806	106217
14	15	1	57909	57909
15	16	5	105800	105709
15	16	2	38712	38495
15	16	4	47895	47895
15	16	3	105600	0
15	16	1	76725	75950
15	16	5	44051	43834
15	16	1	18879	18879
15	16	4	50888	50579
15	16	2	76673	77142
15	16	4	69465	69465
15	16	1	75950	75950
15	16	1	18662	18879
15	16	2	96543	95946
15	16	1	18879	18879
15	16	4	69464	69464
15	16	2	62308	62308
15	16	1	18662	18662
15	16	2	62307	62307
15	16	1	18846	18846
15	16	4	69464	69464
15	16	2	25151	24665
15	16	1	27501	27501
15	16	1	18879	18879
15	16	5	105800	105800
15	16	1	46268	46268
15	16	5	105517	105800
15	16	4	101489	102086
15	16	5	17541	17162
15	16	2	105709	105864
15	16	1	50527	50527
16	17	5	105800	105891
16	17	2	36956	36864
16	17	4	33681	33681
16	17	3	52734	31305
16	17	1	96874	97649
16	17	5	79729	79729
16	17	4	8808	8646
16	17	4	33372	33681
16	17	2	64851	64851
16	17	4	48836	48836
16	17	1	96875	96875
16	17	1	24087	24087
16	17	2	77610	78207
16	17	1	23870	23870
16	17	4	48836	48836
16	17	2	53641	53641
16	17	4	15233	14701
16	17	2	53467	53467
16	17	1	24086	24086
16	17	4	48415	48836
16	17	2	30968	30751
16	17	1	35226	34917
16	17	4	15211	14861
16	17	5	105800	105800
16	17	1	59094	58625
16	17	5	106083	105800
16	17	4	71639	71639
16	17	4	22854	22157
16	17	2	105883	105883
16	17	1	58625	58625
17	18	5	105800	105800
17	18	2	47277	47277
17	18	4	28869	28869
17	18	3	105600	0
17	18	1	113364	113364
17	18	5	50778	50778
17	18	4	5830	5668
17	18	4	31518	31518
17	18	2	97183	97183
17	18	4	45467	45467
17	18	1	101525	101525
17	18	1	24955	24955
17	18	2	100765	100168
17	18	1	28616	28616
17	18	4	45468	45468
17	18	2	66518	66518
17	18	4	12901	12635
17	18	2	66517	66517
17	18	1	25264	24830
17	18	4	45889	45889
17	18	5	28692	28209
17	18	1	36265	36574
17	18	4	12901	12768
17	18	5	105800	105800
17	18	1	61439	61439
17	18	5	105800	105800
17	18	4	66864	66267
17	18	4	21266	21483
17	18	2	105699	105699
17	18	1	61437	61437
18	19	5	105800	105517
18	19	2	54619	54928
18	19	4	30631	30631
18	19	3	105600	0
18	19	1	105709	105709
18	19	5	45674	45891
18	19	4	5832	5751
18	19	4	31209	31209
18	19	2	108234	107637
18	19	4	45047	45047
18	19	1	102299	102299
18	19	1	25389	24955
18	19	2	112574	113171
18	19	1	31605	31605
18	19	4	45467	45467
18	19	2	65675	65675
18	19	4	12768	12768
18	19	2	65676	65676
18	19	1	25172	24955
18	19	4	45047	45047
18	19	5	26465	25534
18	19	1	36771	36771
18	19	4	12901	12635
18	19	5	105800	105800
18	19	1	61908	62377
18	19	5	105517	105800
18	19	4	65669	66266
18	19	4	21483	21266
18	19	2	105891	105608
18	19	1	78590	78590
19	20	5	105800	106083
19	20	2	70307	69886
19	20	4	29145	29145
19	20	3	105600	0
19	20	1	106859	106859
19	20	5	44464	44247
19	20	4	5832	5508
19	20	4	31518	31518
19	20	2	109021	109618
19	20	4	44626	44626
19	20	1	112275	112275
19	20	1	25823	25823
19	20	2	105547	105547
19	20	1	25823	25823
19	20	4	45468	45468
19	20	2	63571	63571
19	20	4	13032	12766
19	20	2	63992	63992
19	20	1	20053	20270
19	20	4	45467	45467
19	20	5	26999	26600
19	20	1	37389	37080
19	20	4	12901	12901
19	20	5	105800	105800
19	20	1	63315	63315
19	20	5	105800	105800
19	20	4	67461	66864
19	20	4	21483	21700
19	20	2	105804	105804
19	20	1	79998	79998
20	21	5	105645	105645
20	21	2	65253	65674
20	21	4	36627	36318
20	21	3	105600	0
20	21	1	105600	105600
20	21	5	36239	36456
20	21	1	27574	27493
20	21	4	37080	37080
20	21	2	100433	100433
20	21	4	36462	36462
20	21	1	105806	105806
20	21	2	11572	11491
20	21	2	106089	106089
20	21	1	25389	25172
20	21	4	53888	53888
20	21	2	61045	61045
20	21	4	15162	15295
20	21	2	62307	62307
20	21	1	15295	15295
20	21	4	53467	53467
20	21	5	21945	21546
20	21	1	36462	36462
20	21	4	15295	15029
20	21	5	105800	105517
20	21	1	61439	61439
20	21	5	105025	105025
20	21	4	78803	79400
20	21	5	13249	12789
20	21	2	105810	105527
20	21	1	79401	79401
21	22	5	104897	104897
21	22	2	63150	62729
21	22	4	38625	38934
21	22	3	105600	0
21	22	1	105600	105600
21	22	5	35588	35371
21	22	1	26257	26257
21	22	4	38934	38934
21	22	2	90147	90147
21	22	4	43503	43503
21	22	1	105955	105052
21	22	2	10312	9803
21	22	2	106300	105525
21	22	1	26040	26257
21	22	4	56413	56413
21	22	2	42642	42642
21	22	4	15960	15827
21	22	2	61466	61466
21	22	1	26740	26740
21	22	4	41340	41031
21	22	5	21014	21014
21	22	1	37697	37697
21	22	4	12081	12081
21	22	5	105800	105800
21	22	1	58884	58884
21	22	5	105800	105800
21	22	4	82982	82385
21	22	5	9556	9232
21	22	2	105738	106304
21	22	1	81190	81190
22	23	5	106858	106858
22	23	2	64833	64833
22	23	4	29989	29989
22	23	3	105600	0
22	23	1	104554	104554
22	23	5	37074	37074
22	23	1	25389	25389
22	23	4	38315	38006
22	23	2	85626	85626
22	23	4	40301	40301
22	23	1	105868	106771
22	23	2	16445	16046
22	23	2	104204	104979
22	23	1	25389	25389
22	23	4	55572	55572
22	23	2	45982	45982
22	23	4	15849	15716
22	23	2	58518	58518
22	23	1	25264	25264
22	23	4	38007	38316
22	23	5	21812	21413
22	23	1	36574	36574
22	23	4	18392	17828
22	23	5	105800	106083
22	23	1	53887	53466
22	23	5	106575	106575
22	23	4	92773	93370
22	23	4	14244	13677
22	23	2	105912	105629
22	23	1	78804	78804
23	24	5	105234	105234
23	24	2	63785	64206
23	24	4	24953	24953
23	24	3	105600	0
23	24	1	106585	106585
23	24	5	41447	41447
23	24	1	25172	25172
23	24	4	36462	36771
23	24	2	83322	82853
23	24	4	36771	36771
23	24	1	105709	105709
23	24	2	17157	17024
23	24	2	91174	91174
23	24	1	25389	25172
23	24	4	53467	53046
23	24	2	42163	41854
23	24	4	15029	15162
23	24	2	60624	60624
23	24	1	25389	25172
23	24	4	36771	36462
23	24	5	22743	22344
23	24	1	36462	36771
23	24	4	11728	11381
23	24	5	105800	105800
23	24	1	53467	53888
23	24	5	105802	105027
23	24	4	87032	87032
23	24	5	18939	17802
23	24	2	105252	105535
23	24	1	78803	78803
24	25	5	106366	106366
24	25	2	76996	76527
24	25	4	24738	24521
24	25	3	105600	0
24	25	1	104932	104932
24	25	5	55335	55335
24	25	1	21917	21917
24	25	4	48060	48060
24	25	2	74366	74835
24	25	4	46295	46295
24	25	1	105444	105444
24	25	1	20023	19725
24	25	2	96116	96116
24	25	1	21917	21917
24	25	4	51782	52203
24	25	2	47080	47080
24	25	4	14783	14517
24	25	2	64413	64413
24	25	1	21917	22134
24	25	4	31598	31907
24	25	2	21747	21585
24	25	1	31827	31827
24	25	4	18787	18489
24	25	5	105800	105800
24	25	1	46731	46731
24	25	5	106083	106575
24	25	4	76416	75819
24	25	4	23249	23168
